Trial 0
Num parameters: 615172	 Num Trainable parameters: 615172
Epoch 101. Training Loss: 63.029, Training Accuracy: 0.502, Testing Loss: 63.191, Testing Accuracy: 0.486 
Epoch 126. Training Loss: 63.027, Training Accuracy: 0.502, Testing Loss: 63.162, Testing Accuracy: 0.486 
Epoch 127. Training Loss: 62.944, Training Accuracy: 0.504, Testing Loss: 63.300, Testing Accuracy: 0.474 
Epoch 128. Training Loss: 63.009, Training Accuracy: 0.504, Testing Loss: 63.211, Testing Accuracy: 0.488 
Epoch 129. Training Loss: 62.951, Training Accuracy: 0.508, Testing Loss: 63.208, Testing Accuracy: 0.484 
Epoch 130. Training Loss: 62.938, Training Accuracy: 0.512, Testing Loss: 63.173, Testing Accuracy: 0.482 
Epoch 131. Training Loss: 62.980, Training Accuracy: 0.500, Testing Loss: 63.103, Testing Accuracy: 0.496 
Epoch 132. Training Loss: 62.822, Training Accuracy: 0.524, Testing Loss: 63.140, Testing Accuracy: 0.492 
Epoch 133. Training Loss: 62.894, Training Accuracy: 0.518, Testing Loss: 63.176, Testing Accuracy: 0.488 
Epoch 134. Training Loss: 62.926, Training Accuracy: 0.516, Testing Loss: 63.194, Testing Accuracy: 0.484 
Epoch 135. Training Loss: 63.024, Training Accuracy: 0.504, Testing Loss: 63.225, Testing Accuracy: 0.478 
Epoch 136. Training Loss: 62.917, Training Accuracy: 0.510, Testing Loss: 63.150, Testing Accuracy: 0.496 
Epoch 137. Training Loss: 63.017, Training Accuracy: 0.502, Testing Loss: 63.148, Testing Accuracy: 0.488 
Epoch 138. Training Loss: 63.021, Training Accuracy: 0.506, Testing Loss: 63.458, Testing Accuracy: 0.462 
Epoch 139. Training Loss: 62.950, Training Accuracy: 0.510, Testing Loss: 63.178, Testing Accuracy: 0.488 
Epoch 140. Training Loss: 63.018, Training Accuracy: 0.508, Testing Loss: 63.165, Testing Accuracy: 0.488 
Epoch 141. Training Loss: 62.819, Training Accuracy: 0.524, Testing Loss: 63.176, Testing Accuracy: 0.490 
Epoch 142. Training Loss: 62.975, Training Accuracy: 0.510, Testing Loss: 63.339, Testing Accuracy: 0.470 
Epoch 143. Training Loss: 62.880, Training Accuracy: 0.516, Testing Loss: 63.437, Testing Accuracy: 0.462 
Epoch 144. Training Loss: 62.965, Training Accuracy: 0.506, Testing Loss: 63.265, Testing Accuracy: 0.474 
Epoch 145. Training Loss: 62.989, Training Accuracy: 0.504, Testing Loss: 63.132, Testing Accuracy: 0.492 
Epoch 146. Training Loss: 62.957, Training Accuracy: 0.510, Testing Loss: 63.276, Testing Accuracy: 0.478 
Epoch 147. Training Loss: 62.859, Training Accuracy: 0.518, Testing Loss: 63.252, Testing Accuracy: 0.476 
Epoch 148. Training Loss: 62.817, Training Accuracy: 0.524, Testing Loss: 63.249, Testing Accuracy: 0.480 
Epoch 149. Training Loss: 62.998, Training Accuracy: 0.504, Testing Loss: 63.378, Testing Accuracy: 0.466 
