Trial 0
Num parameters: 615172	 Num Trainable parameters: 615172
Epoch 101. Training Loss: 63.005, Training Accuracy: 0.508, Testing Loss: 62.818, Testing Accuracy: 0.522 
Epoch 144. Training Loss: 63.069, Training Accuracy: 0.500, Testing Loss: 62.997, Testing Accuracy: 0.506 
Epoch 145. Training Loss: 63.037, Training Accuracy: 0.504, Testing Loss: 63.061, Testing Accuracy: 0.494 
Epoch 146. Training Loss: 62.969, Training Accuracy: 0.504, Testing Loss: 62.971, Testing Accuracy: 0.506 
Epoch 147. Training Loss: 62.935, Training Accuracy: 0.510, Testing Loss: 62.794, Testing Accuracy: 0.528 
Epoch 148. Training Loss: 63.021, Training Accuracy: 0.502, Testing Loss: 63.103, Testing Accuracy: 0.496 
Epoch 149. Training Loss: 62.931, Training Accuracy: 0.514, Testing Loss: 63.037, Testing Accuracy: 0.506 
Decreasing lr from: 0.0001
to: -0.0001

Saving model... Vehicle selection accuracy: 0.864, Mean distance: 4.282
Epoch 150. Training Loss: 63.077, Training Accuracy: 0.496, Testing Loss: 62.967, Testing Accuracy: 0.504 
Epoch 151. Training Loss: 63.094, Training Accuracy: 0.498, Testing Loss: 63.025, Testing Accuracy: 0.508 
Epoch 152. Training Loss: 63.116, Training Accuracy: 0.492, Testing Loss: 63.068, Testing Accuracy: 0.504 
Epoch 153. Training Loss: 62.979, Training Accuracy: 0.508, Testing Loss: 63.016, Testing Accuracy: 0.506 
Epoch 154. Training Loss: 62.931, Training Accuracy: 0.514, Testing Loss: 63.112, Testing Accuracy: 0.490 
